"title","skill","company","review_count","star_rating","days_since_posting","location","company_size","domain"
"Managing Director, Automotive Analytics","Analysis Skills","J.D. Power",13,"3.299999952",14,"VA",NULL,NULL
"Technology Spring 2019 Intern - TDC Consumer Analytics Data...","Hive| Data Mining| Machine Learning| R| Scala| SQL| Python","Time Warner",123,"4.199999809",5,"GA","10,000+","Media, News and Publishing"
"Tableau Developer, Data Products","Java| Business Intelligence| Hadoop| SAS| Python| SQL| Tableau","Visa",656,"4",30,"CA","10,000+","Banks and Financial Services"
"Data Visualization Specialist - Consultant (Tableau or Power...","Microsoft SQL Server| Machine Learning| Hadoop| Oracle| SQL| Tableau| Teradata| Apache| Alteryx","Clarity Insights",10,"3.5",5,"USA",NULL,NULL
"Data Science & Analytics","Survey Design| Performance Marketing","Publicis.Sapient",12,"3.799999952",30,"TX",NULL,NULL
"Data Visualization Specialist - Consultant (Tableau or Alter...","Microsoft SQL Server| Machine Learning| Hadoop| Oracle| SQL| Tableau| Teradata| Apache| Alteryx","Clarity Insights",10,"3.5",4,"CA",NULL,NULL
"Assistant Vice President, Data and Analytics, Strategy & Dis...","Microsoft Word| Data Mining| Microsoft Powerpoint","Arch Capital Group Ltd.",35,"4.199999809",30,"CT",NULL,NULL
"Head of Restaurant Growth Analytics and Insights, Uber Eats...","B2B Sales| SPSS| R| Python| SQL","Uber",641,"3.799999952",6,"CA","10,000+","Internet and Software"
"Product Manager - Data & Analytics",NULL,"FIS",1447,"3.5",1,"FL","10,000+","Banks and Financial Services"
"MGR DATA SCIENCE AND ANALYTICS","Machine Learning| R| Leadership Experience| Statisical Analysis| Python| SQL| Tableau","The Home Depot",41290,"3.799999952",6,"GA","10,000+","RetailConsumer Goods and Services"
"Head of eBusiness Analytics and Data Science","Machine Learning| Marketing Automation| Leadership Experience","EMD",50,"4",30,"MO","10,000+","Industrial Manufacturing"
"Trading Data Analytics Consultant","Microsoft Word| Microsoft Powerpoint| Microsoft Office","Accenture",14988,"4",30,"NY","10,000+","Consulting and Business Services"
"Director, Product - Data & Analytics","Machine Learning| Management Experience| SQL| Tableau","Fullscreen Media",33,"4.199999809",30,"CA",NULL,NULL
"Sr Director - Data & Analytics","Business Intelligence| Data Mining| Hadoop| R| Oracle| SQL| Tableau| Java| Python","GE Careers",4683,"4",13,"USA","10,000+","Industrial Manufacturing"
"Analytics - Vice President","Statistical Software| Spark| R| SAS| Python| Omniture| SQL","Merkle Inc.",136,"3.400000095",8,"MD","Less than 10,000","Consulting and Business Services"
"Manager - Data Analytics Platforms","Java| Business Intelligence| Python| C/C++| SQL| Tableau","Wayfair",397,"3.400000095",18,"MA","Less than 10,000","Internet and Software"
"Director, Product - Data & Analytics","Machine Learning| SQL| Tableau","Fullscreen",33,"4.199999809",30,"CA",NULL,NULL
"Director - Data & Analytics","Pig| Design Patterns| Hive| Power BI| Oracle| SQL| Sybase| MySQL| QlikView| PostgreSQL| NoSQL| DB2","AIG",2807,"3.799999952",30,"CA","10,000+","Insurance"
"Assistant Vice President (Analytics)","Data Mining| Marketing| Management Experience","EXL",1208,"3.799999952",15,"CT","Less than 10,000","Consulting and Business Services"
"Associate Actuary (Claims Analytics)","R| Python","USAA",2175,"4",1,"USA","10,000+","Insurance"
"Director Product Data Science and Analytics, Advertising","Data Analysis| Scripting| Leadership Experience| Python| SQL","King.com",NULL,NULL,4,"CA",NULL,NULL
"Director, Data Science & Analytics","Machine Learning","Cisco Meraki",10,"4.400000095",30,"CA","Less than 10,000","Internet and Software"
"Director, Advanced Analytics - Talent Analytics","Project Management| Statisical Analysis","Liberty Mutual",2914,"3.700000048",1,"MA","10,000+","Insurance"
"Head of Commercial Data & Analytics","R| SAS","GlaxoSmithKline",3195,"4.199999809",30,"NC","10,000+","Pharmaceuticals"
"Big Data Architect, Analytics","Pig| Hive| Hadoop| Perl| SDLC| HBase| SQL| Apache| Big Data| Java| Cassandra| MongoDB| NoSQL| Python","CapTech Consulting",15,"4.5",29,"VA","Less than 10,000","Consulting and Business Services"
"Associate Actuary (Claims Analytics)","R| Python","USAA",2175,"4",1,"VA","10,000+","Insurance"
"Director Data & Analytics Digital Media","Microsoft Powerpoint| R| SAS| Omniture| Microsoft Office| Tableau| SPSS| Leadership Experience| Doubleclick| Python","GroupM",95,"3.799999952",30,"NY","10,000+","Media, News and Publishing"
"Director, eCommerce Optimization & Analytics","SQL","Globoforce Limited",2,"5",12,"MA",NULL,NULL
"Director of Business Intelligence and Analytics","Pentaho| Project Management| Management Experience| Business Analysis| IT Experience| SQL| Tableau","Wycliffe Bible Translators",14,"4.400000095",9,"FL",NULL,NULL
"Senior Manager of Data & Analytics","Java| R| Python| SQL| Tableau","First Republic Bank",132,"4",20,"CA",NULL,NULL
"Head of Analytics","Machine Learning| R| Python| Sentiment Analytics","Harry's",12,"4.199999809",30,"NY",NULL,NULL
"Director, Marketing Analytics","Data Mining| R| SAS","Targetbase",16,"3",14,"NC",NULL,NULL
"Group Manager, Digital Marketing Data Science and Analytics","Leadership Experience| SQL","Intuit",1103,"4.199999809",30,"CA","Less than 10,000","Internet and Software"
"Analytics Business Partner, Market Intelligence","Customer Segmentation| Microsoft Powerpoint| Marketing| SQL| Excel| Tableau","Autodesk",333,"4.099999905",30,"CA","Less than 10,000","Internet and Software"
"Director, Product Analytics","Machine Learning| SQL","Williams-Sonoma, Inc.",1690,"3.700000048",30,"CA",NULL,NULL
"Analytics & Insights Manager","R| Python| SQL","Uber",642,"3.700000048",21,"CA","10,000+","Internet and Software"
"Associate Actuary (Claims Analytics)","R| Python","USAA",2175,"4",1,"FL","10,000+","Insurance"
"Director, Client Analytics",NULL,"Precima",NULL,NULL,30,"IL",NULL,NULL
"VP, Analytics","Salesforce CRM| Management Experience| Statisical Analysis| Business Management| SQL| Excel| Tableau| Business Analysis","Vistage Worldwide",10,"3.799999952",30,"CA","Less than 10,000","Consulting and Business Services"
"Project Lead Big Data Analytics","Big Data| Hive| Spark| Hadoop| HBase| Tableau","Wipro LTD",11485,"3.799999952",30,"CA","10,000+","Transport and Freight"
"Product Manager - Analytics Data Platform","Machine Learning| Hadoop| Kafka| Spark| Kubernetes","Teradata",145,"3.799999952",2,"CA","10,000+","Internet and Software"
"Director, Digital &Travel Operations Analytics","Business Intelligence| Project Management| Marketing| E-Commerce| Leadership Experience","Disney",4330,"4.199999809",30,"FL","10,000+","Restaurants, Travel and Leisure"
"System Director Analytics","Machine Learning","Franciscan Health",456,"3.700000048",20,"IN","10,000+","Health Care"
"Head of Sales Strategy & Analytics - Quip","SQL| Tableau","Salesforce",417,"4.199999809",25,"CA","10,000+","Internet and Software"
"Associate Actuary (Claims Analytics)","R| Python","USAA",2175,"4",1,"AZ","10,000+","Insurance"
"Associate Actuary (Claims Analytics)","R| Python","USAA",2175,"4",1,"TX","10,000+","Insurance"
"Associate Actuary (Claims Analytics)","R| Python","USAA",2174,"4",1,"CO","10,000+","Insurance"
"Group Manager, Accountant Segment Data Science and Analytics","Leadership Experience| SQL","Intuit",1103,"4.199999809",30,"CA","Less than 10,000","Internet and Software"
"Associate Actuary (Claims Analytics)","R| Python","USAA",2175,"4",1,"TX","10,000+","Insurance"
"Staff VP Data and Analytics Management - PS14328","System Design| Hadoop| Kafka| Management Experience| Teradata| Tableau| Java| Spark| Informatica","Anthem, Inc.",3348,"3.799999952",1,"USA","10,000+","Health Care"
"VP, IT Data & Analytics","Project Management| Management Consulting| Leadership Experience| Strategic Planning","Hertz",4280,"3.400000095",30,"FL","10,000+","Auto"
"VP, Data Analytics & Insights","AI| Machine Learning| Project Management| R| SQL| Teaching Experience| Python","Wiley",208,"3.900000095",30,"NJ",NULL,"Consulting and Business Services"
"Director, Data & Analytics","Sentiment Analytics| Python| SQL","WeWork",81,"3.200000048",30,"NY",NULL,"Consulting and Business Services"
"SVP/VP, Analytics","Marketing","Weber Shandwick",108,"4",6,"NY",NULL,NULL
"VP of Analytics",NULL,"Coffee Meets Bagel",NULL,NULL,30,"CA",NULL,NULL
"Data Analytics Developer","Pig| Business Intelligence| Hive| AI| Data Mining| Machine Learning| Hadoop| Kafka| HBase| SQL| Tableau| Big Data| Spark| NoSQL| Python","Morgan Stanley",2900,"3.900000095",21,"NY","10,000+","Banks and Financial Services"
"Sr. Director, Data & Analytics",NULL,"Thermo Fisher Scientific",2065,"3.599999905",28,"CA","10,000+","Industrial Manufacturing"
"VP Analytics","Business Intelligence| Microsoft SQL Server| QlikView| Oracle| Tableau| Microsoft Access","Zenith",358,"3.5",30,"NY",NULL,NULL
"Director, Data Science & Analytics","Machine Learning","Cisco Systems",4252,"4.099999905",30,"CA","10,000+","Internet and Software"
"Digital Consultant (Wharton Bus Analytics Career Expo)","Machine Learning","EXL",1208,"3.799999952",1,"NY","Less than 10,000","Consulting and Business Services"
"VP, Hotel Analytics","Business Intelligence| Data Mining| SQL","Priceline.com",77,"3.900000095",30,"CT","Less than 10,000","Restaurants, Travel and LeisureConsulting and Business Services"
"Executive Director of Analytics and Insights","Marketing| Azure| AWS","Ramsey Solutions",3,"5",2,"TN",NULL,NULL
"Product Marketing Manager, Data and Analytics, BigQuery, Goo...","Product Demos| Marketing","Google",2642,"4.300000191",30,"WA","10,000+","Internet and Software"
"Director, Business Operations & Analytics","Management Consulting","Adobe",484,"4.300000191",30,"CA","10,000+","Internet and Software"
"Vice President, Marketing Analytics Research & Data Science","Public Relations| Machine Learning| R| SQL| Hadoop| Marketing| SAS| Teradata| Spark| Python","Charles Schwab",948,"4.099999905",12,"CA","10,000+","Banks and Financial Services"
"Head of Global Security Business Intelligence and Analytics","Business Intelligence| Business Analysis| SQL","Facebook",387,"4.199999809",5,"CA","10,000+","Internet and Software"
"Product Marketing Manager, Data and Analytics, BigQuery, Goo...","Product Demos| Marketing","Google",2642,"4.300000191",30,"CA","10,000+","Internet and Software"
"VP, Strategy & Analytics- Executive Programs - Strategy Inno...","Microsoft Powerpoint| Crystal Reports| SQL| Excel","Gartner, Inc.",307,"3.799999952",30,"CT","Less than 10,000","Media, News and Publishing"
"Product Marketing Manager, Data and Analytics, BigQuery, Goo...","Product Demos| Marketing","Google",2641,"4.300000191",30,"CA","10,000+","Internet and Software"
"AVP, Investment Analytics","Chartered Financial Analyst| Project Management| R| SQL| Visual Basic| Process Improvement| SAS| Management Experience| Python","Manulife",190,"4",4,"MA",NULL,"Insurance"
"Delivery Manager, Data Analytics","Pig| Microsoft Project| Hadoop| SDLC| Azure| R| Scala| SQL| Tableau| Spark| Visio| Informatica| Python| Jira| AWS","Ameritas",101,"3.200000048",30,"OH","Less than 10,000","Insurance"
"Director Strategic Business Analytics - Global Integrated Kn...","Business Intelligence| Google Analytics| Leadership Experience| SQL| Tableau","Nike",6574,"4.199999809",30,"OR","10,000+","Consumer Goods and Services"
"Sr. Business Analytics Manager - Data Science","Machine Learning| Microsoft Powerpoint| R| SAS| SQL| Microsoft Word| Analysis Skills| Business Analysis| Jira","Medidata Solutions",54,"3.700000048",8,"NY",NULL,"Internet and Software"
"Director, Data Science, Analytics and Reporting","TensorFlow| Database Marketing| Machine Learning| Experimental Design| R| SQL| Big Data| Design Experience| AI| Data Mining| Hadoop| Marketing| Management Experience| Teradata| Python| Data Science","RBC",2905,"4.099999905",6,"NC","10,000+","Banks and Financial Services"
"SVP of Marketing Analytics and Strategy - Specialty Retailer","Data Mining| Machine Learning| Management Experience| Marketing Mix Modeling","Harnham",6,"4.800000191",21,"CA","Less than 10,000","Consulting and Business Services"
"VP Digital Analytics","Marketing| R| Digital Marketing| Python","Harnham",6,"4.800000191",30,"NY","Less than 10,000","Consulting and Business Services"
"VP Advanced Analytics","Machine Learning| SAS| Python| SQL","Harnham",6,"4.800000191",30,"NY","Less than 10,000","Consulting and Business Services"
"Senior Product Manager, Analytics","Analysis Skills| Google Cloud Platform| Azure| AWS","Zynga",79,"3.799999952",4,"CA",NULL,NULL
"Manager, Analytics Consulting","Hadoop| R| SAS| Python| SQL| Tableau","Smith Hanley Associates",18,"4.099999905",14,"CA","Less than 10,000","Consulting and Business Services"
"VP Marketing Analytics","Performance Marketing| R| SAS| Python| SQL","Harnham",6,"4.800000191",30,"TN","Less than 10,000","Consulting and Business Services"
"SAP Concur - Sr. Director Product Analytics","Machine Learning| SAP","SAP",1792,"4.300000191",15,"WA","10,000+","Internet and Software"
"Head of Category Analytics",NULL,"Harnham",6,"4.800000191",30,"NY","Less than 10,000","Consulting and Business Services"
"Client Asset Analytics Lead, VP","Regulatory Reporting","State Street",2068,"3.5",20,"MA","10,000+","Banks and Financial Services"
"VP Marketing Analytics","Performance Marketing| R| SAS| Python| SQL","Harnham",6,"4.800000191",30,"TX","Less than 10,000","Consulting and Business Services"
"Director, Digital Analytics - Fashion Brand","Microsoft Word| Microsoft Powerpoint| Microsoft Office| Tableau","Harnham",6,"4.800000191",30,"CA","Less than 10,000","Consulting and Business Services"
"Global Head Resource Management & Analytics","Accounting","Roche",1662,"4.199999809",30,"NY","10,000+","Health Care"
"VP Marketing Analytics","Performance Marketing| R| SAS| Python| SQL","Harnham",6,"4.800000191",30,"NY","Less than 10,000","Consulting and Business Services"
"Managing Director, Analytics & Innovation","Machine Learning| SDLC","Charles Schwab",948,"4.099999905",11,"CA","10,000+","Banks and Financial Services"
"Director, Digital Analytics - Fashion Brand","Microsoft Word| Microsoft Powerpoint| Microsoft Office| Tableau","Harnham",6,"4.800000191",30,"CA","Less than 10,000","Consulting and Business Services"
"Analytics Senior Manager, Ads","Java| Big Data| Spark| Hadoop| Scala| Python| SQL| Tableau","Spotify",35,"4.300000191",30,"NY","Less than 10,000","Internet and Software"
"Senior Business Analytics Manager","R| Python| SQL","JustAnswer",6,"3.700000048",30,"CA",NULL,NULL
"Analytics Strategy & Transformation Senior Manager","Machine Learning","Accenture",14987,"4",15,"TX","10,000+","Consulting and Business Services"
"Manager, Advanced Analytics","Hive| Machine Learning| Hadoop| R| Python| SQL","Harnham",6,"4.800000191",30,"NY","Less than 10,000","Consulting and Business Services"
"Senior Manager II, Site Analytics","Data Mining| Spark| Microsoft Powerpoint| Python| SQL","Walmart",157475,"3.599999905",30,"CA","10,000+","Retail"
"CCB Risk - Risk Analytics - Strategic Analytics - Vice Presi...","Hive| Data Mining| Hadoop| R| SAS| SQL| Big Data| Spark| Data Warehouse","JPMorgan Chase",21159,"3.900000095",30,"OH","10,000+","Banks and Financial Services"
"VP Decision Analytics","R| Big Data| Data Analysis| Data Mining| Microsoft Powerpoint| Hadoop| SAS| Spark| Python","GM Financial",514,"3.700000048",30,"TX","Less than 10,000","Auto"
"Business Director, Sales Performance, Reporting & Analytics","Quantitative Analysis| Sales Experience| Project Management| Management Consulting| Management Experience","Capital One",6791,"4",18,"VA","10,000+","Banks and Financial Services"
"Director of Sales & Marketing Analytics & Planning","Leadership Experience","Carbon Black",7,"4.099999905",30,"MA","Less than 10,000","Internet and Software"
"Sr. Director, Digital Marketing Analytics","Performance Marketing| Marketing| Marketing Mix Modeling","Performics",15,"3.799999952",30,"IL",NULL,NULL
"Director of Customer Analytics",NULL,"JBCconnect",4,"2.299999952",26,"GA",NULL,NULL
"Senior Director of Advanced Analytics","R| SAS| SQL","Harnham",6,"4.800000191",30,"NY","Less than 10,000","Consulting and Business Services"
"Director of Product Analytics - Ecommerce","R| Data Science| Python| SQL","Harnham",6,"4.800000191",30,"CA","Less than 10,000","Consulting and Business Services"
"Director, US Business Intelligence and Analytics, Cambridge,...","Project Management| SAS| Tableau| QlikView| Leadership Experience","SanofiUS",3165,"4.099999905",30,"MA","10,000+","Pharmaceuticals"
"Resources Analytics Advisory, Senior Manager","Machine Learning","Accenture",14988,"4",30,"NY","10,000+","Consulting and Business Services"
"Senior Director, Provider Access & Trade Analytics","R| SAS","GlaxoSmithKline",3195,"4.199999809",30,"PA","10,000+","Pharmaceuticals"
"Director of Technology & Analytics, Irvine, CA","Database Marketing| Machine Learning| Hadoop| Azure| Spark| Design Experience| AWS","BCG Digital Ventures",4,"4.5",30,"CA",NULL,NULL
"CCB F&BM Chase Merchant Services Pricing & Analytics Executi...","SAS| Microsoft Access| Management Consulting","JPMorgan Chase",21159,"3.900000095",12,"NJ","10,000+","Banks and Financial Services"
"Product Analytics Principal Manager","R| SQL| Confluence| Design Experience| Python","Atlassian",11,"4.5",28,"CA","Less than 10,000","Internet and Software"
"Director of Analytics - Healthcare","Business Intelligence","Goodwin Recruiting",8,"4.5",30,"IN",NULL,"Human Resources and Staffing"
"PM/BA - Banking IT Risk / Ops Risk - Tableau - Up to $650/da...","SQL| Tableau","Dice",NULL,NULL,11,"NY",NULL,NULL
"CCB F&BM Chase Merchant Services Pricing & Analytics Executi...","SAS| Microsoft Access| Management Consulting","JPMorgan Chase",21159,"3.900000095",12,"DE","10,000+","Banks and Financial Services"
"Analytics High Value Consulting Senior Manager - Consumer Go...","Management Consulting| Data Analysis","Accenture",14988,"4",30,"GA","10,000+","Consulting and Business Services"
"Analytics High Value Consulting Senior Manager - Consumer Go...","Management Consulting| Data Analysis","Accenture",14988,"4",30,"NY","10,000+","Consulting and Business Services"
"Go-to-Market Analytics Senior Manager - Products Industry","Design Experience| Management Consulting",NULL,14988,"4",NULL,"NJ",NULL,NULL
"Analytics High Value Consulting Senior Manager - Consumer Go...","Management Consulting| Data Analysis","Accenture",14988,"4",30,"CA","10,000+","Consulting and Business Services"
"IBM GBS Cognitive & Analytics Senior Consultant â€“ Public Sec...","Machine Learning| R| C/C++| Natural Language Processing| SPSS| Visual Basic| Hadoop| SAS| Java| Spark| Data Warehouse| NoSQL| Python","IBM",23477,"3.900000095",30,"DC","10,000+","Consulting and Business Services"
"Medical Director, Clinical Products - Healthcare Analytics,...","BC/BE| Pharmacy Residency| R| Excel| SQL| Python","McKinsey & Company",411,"4.300000191",30,"NY",NULL,NULL
"Advanced Tax Analytics & Innovation Director","PMP| CSSLP| Data Mining| Certified Project Manager| Machine Learning| CPA| SAP| Oracle| CISSP| MCSD| Enrolled Agent| Six Sigma Certification| UX| MCSE","PwC",5988,"4",30,"NY","10,000+","Insurance"
"Director, Analytics","Data Warehouse| R| MATLAB| SAS| Python| SQL| Tableau","DoorDash",588,"3.299999952",8,"CA",NULL,"Internet and Software"
"Director of Analytics","Microsoft Powerpoint| R| SQL| STATA| SPSS| Python","Jetblack",2,"2.5",9,"NY",NULL,NULL
"VP, Analytics","Public Speaking","EyeView",NULL,NULL,8,"NY",NULL,NULL
"Sales Specialist (data, news, analytics solutions)","Sales Experience",NULL,NULL,NULL,NULL,"NY",NULL,NULL
"Director of Analytics Technology in Oregon","Scripting| Leadership Experience| AWS",NULL,NULL,NULL,NULL,"WA",NULL,NULL
"Director of Technology Analytics","AWS",NULL,NULL,NULL,NULL,"OR",NULL,NULL
